tweet,sentiment,length
cold,negative,4
mum loved camp rock mother day card gave knew would happy mother day new zealand haha ily lot,positive,93
nice meet mike video producer cf miami,positive,38
left work inventory way easy got put highschool musical cd amazing goodnight goodnight everyone,positive,95
loved book read host amazing storyteller,positive,40
understand whole follow friday thing,negative,36
watching movie playin computer,neutral,30
super tired probably could sleep day work today tool rental oh joy,negative,66
shall post notice town u cork lady know watch lol fun seven business,neutral,68
happy mother day,positive,16
yes got lovey returned love 1thing led2 another also wants2 know ur mad,positive,71
aww sorry boo bought printer year canon i900d still making amazing print zero fisheye exp,neutral,89
problem box made undernourished professional,positive,44
blockbuster week new zealand wolverine tomorrow followed star trek thursday,positive,75
oh like amazing weekend sunshine part white wine back rehearsal regime nice,positive,75
finito hunk ah hunk burning love believe camera phone stuffed stupid blurryness,negative,79
hi wan na see fly cali see,neutral,26
blogtv fun wait til next time,positive,29
work lunch lot work enough help,negative,31
mm chocky cake oven smell delicious,positive,35
well another twiiter person erm difficult say really let say could fit minibus,negative,78
freaking tired like body refuse move,negative,36
epic fail chocolate fountain got clogged,negative,40
wan na better already,positive,21
fun focus grouping participant yet,positive,34
thanks trying keeping chin ouch,neutral,31
gave regular coke instead diet really,neutral,37
playing new phone think got figured,neutral,35
omg want full jb hey baby song,neutral,30
tinkered opensource virtualbox win7 yet would loved seen hay always unfortunate timing student,neutral,94
think sun moon god way reminding u always watching u,neutral,52
watching twilight eating potato salad,neutral,37
bed cuppa tv husband cooking life sweet,positive,39
also strategic plan map bus strategic need deliver value time waterfall,neutral,71
thanks enjoy movie hope well te,positive,31
amumlaut oh sorry hear,negative,22
back home bathing kid ironing clothes hubby nephew graduation tonight remember,neutral,78
glad went glad leave early glad afterpartying beth back,positive,55
texting,neutral,7
headache,negative,8
way school last friday high school ever even get see holly gabbie hannah,negative,72
better check youtube,neutral,20
cant get,negative,8
club party ive spent friday saturday night workin music quit content,neutral,68
whaat strong rain came u santa clara wish could sleep got attend important meeting,negative,82
reply,neutral,5
gps post prom,positive,13
watching one fav movie sparkle go get food later,positive,48
hey bug martini glass,neutral,21
u heart break little time year know loved next week new week,neutral,60
rlly dead descanse em paz luto sad rip,negative,38
lol think safe say alone thinking,positive,33
yo guy want make road trip look waraw wait long taipei,neutral,54
great weekend johnback work day going illinois thurs fri gig john,positive,65
thing say purple prose give away hell even supposed mean casino music go die,negative,76
dreamwidth new journaling site went open beta,neutral,45
florida nice,positive,12
getting cold,neutral,12
bec v fat food winner fat food weeknend ill beat,neutral,48
sad twit going miss musiq soulchild anthony hamilton ugghh love,neutral,63
school blagh yay getting iphone august,positive,38
one always working oh yeah still,neutral,32
oh great think getting sick,neutral,27
awe sorry probably true,positive,23
idea whether drink anymore,neutral,26
sure want know make want run news happy star war day,positive,52
jus got done swimming soon ima need stay outta sun,neutral,50
today celebrating two new people becoming australian citizen hoping good dinner,positive,79
hey baby,neutral,8
contemplating whether go prom listen playlist somethings tellin might stephen bishop,neutral,84
home alone friday night doesnt get sadder folk,negative,46
back fine old melbourne town,neutral,28
beez heterochallenged still care milk thought boring,negative,52
treat hair badly revenge turning grey prematurely,negative,49
yeah great think hear year come,positive,31
thanks advice went doctor slept lot yesterday must med,positive,54
prom chaos began,negative,16
mad cant go like hour away,negative,26
mozert requiem tonight,neutral,22
miss good old day,negative,17
birthday week today,neutral,19
well normal day already done work unfortunately normal day mean office till late,negative,80
last night long drive slept really well time dino wasstraat,positive,59
wish guy gotten video,positive,21
cool tempted see feel sorry jb though hardly people,neutral,51
haha go martin fixed ski like million time,positive,42
noo favorite coworker got new job marc jacob show fair want go,negative,62
bff rocking hotel california song done stay next hm careless whisper,negative,68
nice one,positive,8
yes hate silly boy,negative,18
btw short notice know rsvping party thanks much invitation though 2nite,positive,71
sorry lol waitt think mum would still let bday stuff weekend,neutral,60
hey kinda mean dont yu think,negative,28
houdin blind faith thats crackup,negative,32
work afternoon,neutral,14
inconsiderate,negative,13
aint bee aint ya heard keemie,neutral,29
take,negative,4
believe,negative,7
serena darrian remember waiting day see confess love,neutral,52
got degree b,positive,12
read article buying ip necessary mean get developement team mean,neutral,64
nite nite fellow tweeter goin put ipod n listen westlife missin guy headin sleep early start 7am x,neutral,98
thanks ballroom dancing competition,positive,35
concur priority today list,positive,26
ohh shardup hehe he hot lah got ta admet bleh,neutral,45
dad feeling well want make soup suggestion guy get well soon ayah,negative,65
date hockey game confused next week,negative,35
well one week left holiday sad sad,negative,34
karaoke small town bar wonderful time,positive,37
care eurovision yes jurybased vote year eurovision2009,positive,54
nothing like homemade paranthas breakfast,positive,41
hey bettiye see stay tuned video blog hows obsessed need get thru exam imma watch,neutral,81
west music meant awesome christian artist,positive,41
please vote sympathy bgt,negative,24
love birdy nest though already got u another kind,positive,49
missing lol plaid bud haha bg right,negative,35
make happen pu 0n m3,neutral,20
say trust one,neutral,13
oh yeah happy mother day every mom friend mom,positive,45
colleague helped creating unit site iweb helpful trash code cs file page site optimizing,negative,88
haha wow song called hit twitter lmao okay g night,positive,50
jay leno one show left host tonight show,neutral,40
fatfingered coke machine drinking diet pepsi instead diet dr pepper wish machine used error correction,neutral,102
def want cuddle maybe play one bc far away,negative,42
work apparently sun shining valid excuse stay home,neutral,50
grounded til tomorrow sorry anyone made plan tomorrow annoyed,negative,61
watching fav movie two play game ever notice men start act around spring time shante smith,positive,90
hope roommate good morning without tp soap,positive,42
u weekend uk,neutral,12
yeah guess password also changed able login fb cahnge pw uf,neutral,59
yus really nice,positive,15
broke day guitar hero metallica come boo,negative,40
follower wan na cool follow never happen,neutral,40
revamping recording studio today adding nice high end outboard gear exited,positive,74
esl doubt wash separately normal concern something fading onto white,neutral,68
cancel subscription today nzz economist office costsavings luckily also online version,neutral,86
cleaning desk found betting slip three month ago stuck tenner newcastle getting relegated money,neutral,95
fucken tired sunny good day deff,negative,32
obvious holly go thru public vote straight away obvious aidan greg judge neither go,neutral,83
awesome huh lol,neutral,15
thank chu ch c v qu hik ch c em ph h c kha ph c p ki n th c c kh g p,positive,68
hm essense award would fun also pricy,positive,37
volunteering syndrome indiana wednesday,neutral,39
want katie,neutral,10
filipino say nakuh grabeh like sayin omg,neutral,40
sometimes wish man could pee stand scratch chest instead lie breast hah,negative,71
thats actually fun would think hurting week similar experience,negative,62
good morning,positive,12
feel like death evil headache need pack drive parent bum,negative,56
apparently star war day today may 4th,neutral,37
thought follow friday gaining new friend losing,neutral,47
brings fair island today,neutral,24
startin get head ache ughh,negative,26
going hiddenfile thinking youtube nott lol hey put phone swimming,neutral,65
wish raining,positive,12
leave u,neutral,7
feel lost keep running head staring face haha basically headache eye hurt,negative,73
anncole think thats right lol please follow much appreciated,positive,60
love joan river say family first,positive,32
happy mother day mom love mom,positive,29
hoping heal anything put make worse ow,neutral,38
omg dont blame hope didnt hurt bad,positive,34
cloudy damp hope doesnt rain tonite track meet hate interview rain,positive,66
one estate agent next door caught singing along wham,neutral,52
actually done cousin,neutral,20
bad thought talking today,negative,25
lokelani idea,neutral,13
britain,negative,7
trouble updating,negative,16
sound input computer stop working mic jack usb webcam mic work either checked input control,negative,91
heheh qualifying pretty exciting tho,positive,36
lovee ny getting breakfast gon na go mimis tiredd missing odee love,neutral,67
know got phone leave giant hole mill region also closed,neutral,55
sizzling outside work inside double,neutral,35
morning john yes however diary clash sadly attend,neutral,49
sorry understand people expect everyone react thing poise,negative,57
need ticket gah ya got reason346 listened dear elliott week overdue,negative,67
speaking need talk soon,neutral,23
hi jonas brother came argentina la otra vez,neutral,43
see could possibly another choice,negative,33
oh chris sorry mr raccoon obviously female cuz female specie would adore hug angel,neutral,82
home night hang mom study,neutral,25
researching nyc stuff,neutral,21
face arm tragic seriously,negative,25
thats im driving cali july hin pleasanton,neutral,41
catching last bit later jools last series sob cry,negative,49
man stop freakin hungry,neutral,23
goodness go single go crazy haha like single much want holla,positive,60
poop shirt insanely cracked screen iphone daang,negative,47
better nodding one lol,neutral,22
widescreen laptop rotation comic awesome,positive,40
haha yes lot said nekkid religion,neutral,33
lol fine way weekend,positive,20
yes definitely paid thanks advice,positive,33
miss puppy,negative,10
kwanghock hao da za ji pa miss food much,negative,40
omg buying dvd yeahness another good movie also thanks movie buddy,positive,66
cracking night last night think ever laughed much nice lazy day today woop,positive,74
best weekend ever xx,positive,20
playing man utdkick 1945champions league 2nd leglol,neutral,51
glad home wish could make feel better,positive,37
horrible day,negative,12
might buy ipod apps later hm,neutral,28
get go home,neutral,11
dear omgogmgo see going,neutral,23
awesome kind,positive,12
fantastic weekend hairdresser stylish luncheon fabulous girlie night wine cheese chocolate dancing till morning,positive,111
iam eating pizza want haha,neutral,26
well greatly appreciate comment mean lot working work progress know,positive,67
hm thought sleeping bad see video tomorrow night,negative,48
haha nice know alone working bbc see,positive,36
haha love two girl,positive,18
twee tweet lol,neutral,14
sorry chili cheese dogged without,negative,33
brittany moved,neutral,14
oh today suck,negative,13
grad present photo facebook,neutral,27
lol thanks,positive,10
kymonkey hope amazing day today monkey deserve cheating dew looking picture lol happy bday,positive,90
hi name chelsea respect opinion come dwts great,positive,47
laying bed bored looking old cookbook new recipe,negative,48
sitting chloes little trike thingo girraffe ill probobly get yelled next minute oh well,neutral,87
geometry boring waste time minute left,negative,38
cant find red lighter reminds amy,neutral,33
sure wil,neutral,8
hate sat around alone friday night big sad old loser,negative,52
good luck keep rockin,positive,21
uppercut old man thing say,neutral,26
itt big time saturday night playing canasta movie psych homework stay shiny love everybody,positive,90
om paint fingernail green oh happens paint green marvelous,positive,58
born barn would like hay youtube mother song,neutral,44
picked blackberry middle street crushed,negative,39
got dark red hair dye going get bleach,neutral,38
booked ticket london thursday exicted,positive,37
exactly feel hope start feeling better soon,positive,43
hope find store take u,neutral,22
everyone get buckonellen one topic thing,neutral,40
ah doesnt work want say love beach girl guy acee england love,positive,61
cant wait thing,positive,15
look like alison,neutral,16
making breakfast,neutral,16
perhaps minday morning,neutral,22
totally gutted ended foot cast today travel nottingham see guy,negative,62
reminder hydra client check email important account update,neutral,58
finallyy done done clean n lay n time bed goshh clock lol nite nite twitta head,neutral,79
sick life never going good want need xoxoxo,negative,43
like possibility left side brain hurting thing called vp shunt possible death,negative,77
official twilight saga ended sigh life empty,neutral,44
feeling good happen today day going friend tonight,positive,50
oh totally forgot played today,negative,30
good morning gym go,positive,19
ugh breathe right today,negative,23
yay supposed next weekend make philly,positive,37
soo happy frustrated time ohh noo britney recording new video radar exxciiteed,positive,78
wan na know worse coworker brewed fresh cup coffee think bacon,negative,62
oh cool ok head laydown put ice heep swelling feel really bad,negative,61
chris sab comme estas,negative,21
many attempt figure put pic avatar tell pic big frustrated trying sorry,negative,71
yeah much prefer tweetdeck must multiple account,positive,48
dyededed hair,neutral,13
stuck boo jeez shoot,negative,20
use newsfire work like charm,positive,28
look endometriosis oy,negative,21
giving care mess life,negative,21
sharee,neutral,6
need yummy breakfast shift,positive,26
happy mother day grown n happy lil prego smut lol playing everyone loved happy mother day god bless,positive,99
love mom dad come visit nothin better,neutral,37
love great job,positive,14
dad said trip uk cancelled due da swine flu ops sorry abang,negative,59
want alexis bledel back screen every thursday night,neutral,51
give birth screamer hate screaming child guess hate screaming child besides,negative,75
earth happened wentworth page devastated sure fan,negative,49
3wordsaftersex ow rug burn,neutral,26
place find home marilyn seria beach,neutral,35
got wiff pazik fart,negative,19
feeling good head work bad shift fun feel well hope go fast,negative,59
hahaha snoring,positive,14
wait till vacation end shud cycling lot,neutral,39
time house chore ugh,negative,20
come home boring,negative,16
cute going daddy,positive,16
john amazing book needed brighten mood,positive,38
sleep keep thinking puppy played today,neutral,38
nvm got ur message ur sick,neutral,26
happy mother day taking mum dinner one favourite restaurant glenelg,positive,67
notthebest weekend oh well right sad,negative,36
sitting home need pricing garage sale item help boring,negative,54
thanks end going makino chaya,positive,29
love host lmao,positive,14
apparently tried site tho maybe get better result,positive,49
noo summer see charming little face summer,negative,42
know cowboy hat pic made smile today see many japan,positive,51
super hungry waiting biotch feed,neutral,32
seeing love club actually made,neutral,30
wait wind hair would illegal would never break law never,positive,56
one surprised freetds utf8 work get right eventually,positive,52
wonderful day going sleep well tonight,positive,38
morning sunshine,neutral,16
yes nice missed lot fun exam looking good hair,neutral,46
hopefully get see htb next week la really soon wait,positive,51
really want go see ai tonight,neutral,29
feel strong contraction want go,neutral,31
pare collection portrait bangbang,neutral,33
itt,neutral,3
list banana leave europe boo,neutral,28
well thats even worse cuz get hurt everyone pain poor stephen smushed twitter,negative,77
sweeny todd deadset one best movie time,positive,39
finally managed catch boyfriend skype happy,positive,43
oh really much opinion either way night rip everything,neutral,54
got much 2nite 2b bored bath still hav wash dry straight hair get clothes ready etc,neutral,83
much well,negative,9
tried listenin music half hour tried readin really boring bookstill wide awake,negative,78
know anne judy,neutral,14
workman extending r block start early surely 745am already making racket woken,neutral,78
lpz yeah text wnat go car broken,negative,32
waiting danny text back xoxo,neutral,28
fun 2nite pleasantly surprised,positive,30
teratoma cavity experiencing malepattern baldness,negative,49
lucy hating gweg,negative,16
oh,neutral,2
ok post rny girl learn rich sugary food bad idea golden graham bar vending machine bleck,negative,88
found husband grandma fell stair hospital several broken bone praying hard,negative,74
quick thought tired happy satisfied entertained excited oh bit love,neutral,67
way hungry even think go work empty stomach like,neutral,48
unless mean hour week use sleeping yeah suppose could use,neutral,57
im eating slider barjohnnys theyre pork tho beef still search,neutral,61
henrie answer plz,neutral,17
weird,negative,5
arrogant tap oregon,negative,19
day,negative,3
one sunday night helsinki drink anything xd yeah right,neutral,54
morning im ready wee sunday,neutral,27
gon na text ask puff meant,neutral,26
friend gone sushi movie laughter needed fun,positive,43
yeah late hun lol,neutral,17
woe definitely fun travel first class bike fight way coach til reach seat,negative,73
seeing quite protofurries think acen,neutral,36
boring ugh come back,negative,20
haha like actually saying thanks bot never looked like,positive,54
bad affect language run jvm bad,negative,31
inability manage money tough job market getting behind bill saving bad,negative,70
run moonday bad fb,neutral,18
much know coming thursday right door sale,neutral,41
yep exactly really sad tour know gon na cry last g,negative,50
one cherry dr pepper left fridge thank god im addicted stuff sad thing skin,neutral,75
lawrence forget something morning nearly ran bottom hill warm shop x,negative,68
hey rda2009cla presentation large post sorry rule entity cataloguing rda live,negative,77
safer say cube sphere roll buddy awesome time esp 1st one,positive,57
rankin soy bean teets soy milk milk,neutral,35
disapointed good evans sound really bad tune britainsgottalent,negative,62
way driver training,neutral,19
baby girl next day think gon na keep handy funny stuff,neutral,54
kellie major problem okay alex kellie hahahahahahahaa face,positive,58
left ipod car warm,positive,18
workin,neutral,6
season lie serious come wait,neutral,28
know guess hoping revitalize plot line well instead reverting old cliche,positive,72
funny discussed bela lugosi dinner apearance plan b outer space best movie ever,positive,79
mm mcdonalds coffee soo good maybe going hookah tonight abbster,positive,63
slept alarm woke instead feel like complete tool,positive,48
great site photo fantastic useful visit pembroke inc skomer june,positive,64
hubby vet get animal like child best hope ur biz going well,positive,59
next time,neutral,9
akarowan could talking probably though,negative,38
holy cow,neutral,8
lucky girl also wan na see lol wish come europe doubt,neutral,53
right justintv channel week gf newborn,neutral,38
poor grace need date cute male nurse,neutral,36
happiest girl world best weekend ever wait next weekend either grateful blessing,positive,80
wave would trend higher bing,neutral,28
really alcoholic v disappointed seriously though got kidding,negative,60
watching said happy mother day,positive,30
1st day work today bit tiring ok lol onto college work,neutral,54
wow mom lot energy getting tired reading tweet ur living,negative,56
argg car crash tv horrible see like bgt,negative,39
good point mine way get delivered post pic wen get,positive,50
trader joe sushi fail,negative,21
coming tomorrow morning sort impossible task need clear space thanks though,neutral,75
one reason thought kid nah let get piano instead poor bugger,negative,60
know ahh fun,positive,12
got ta sad,negative,10
ottawa fun,positive,10
finished recording,neutral,18
g night twitterverse thanks keeping entertained,positive,47
make prank call,neutral,15
really rather drunk drunk thought getting work tomorrow loz alive gandhi read comic book never know,neutral,99
sympathy minute enough escape soon,neutral,34
howz going hun,neutral,14
sitting around wanting something idea,neutral,37
yes fb ah miss,negative,14
like dude care made smile yea teach drive e lol,positive,47
aguirre wish going,positive,18
eating cracker yummy unsalted one course salt caviar,positive,52
believe true fml quite phenomenon thx superbad,neutral,46
used twitter awhile bgt drawing summer final,neutral,44
omg got explosion new follower hello new follower,neutral,49
since bogged exam eugh least there left britain got talent,neutral,58
talkin da phone typin da time,neutral,29
dressed go,negative,10
watching child really studying start soon,negative,41
thank ff shout heap sry night realise,neutral,37
ok eaten food bored death room seriously nothing guitar taken venue,negative,67
psych better neuro least better part town miss,negative,46
raining fine rain know fine rain wet,positive,36
sorry missed post earlier edinburgh biased towards awesomeness glad enjoyed visit,neutral,81
dont want go india,neutral,18
apparently degree kilkenny comedy would great remedy boredom hell leave kilkenny,negative,80
lol oh man untwit something haha mean lean mean fighting machine believe called,neutral,79
wlda seen wit dummyhead,negative,23
ok idea tomorrow make fun cause dont know,neutral,41
going obu night,neutral,15
awesome picture happy pint sending,positive,34
gon na host saturday night live waiting like year,neutral,49
sheesh,neutral,6
dinasadik forensic mein kya hai ba rat te jaao micro havin micro exam soon lab diagnosis individual bacteria,neutral,108
michele sometimes say nice thing time kinda fun teehee put back well halo,neutral,73
save,neutral,4
got home drew bday,neutral,18
cheer john thanks following look forward twitterings think good place rant,positive,74
proud nau graduate friend getting ready celebrate tonight international ordeal,positive,78
currently post business blog check like,neutral,39
need follow could send direct message,neutral,37
said,neutral,4
brazil looves miss 24th may perfect day,positive,39
itgood den fell asleep,positive,22
tell today last day,neutral,19
roe oh well never seen anything gon na say anything,neutral,51
chillin rent looking hilarious old photo well funny,positive,51
getting annoyed co weekend going hot bloody working,negative,51
yeah ill make sure keep updated get delivered,neutral,45
brazil love,positive,11
rockett know laughed stupid woman right joke wth glad humor,positive,59
cleaning cleaning cleaning today working love working,neutral,53
guess ill never sad thing put alternate email cause dont remember ur secret,negative,75
ouch earphone shocked,negative,21
well one thing lay floor shape,negative,30
haha ive got one go curse none friend liking tai lol,negative,52
poor baby girl chloe freaking noise cute pitiful hiding middle table,neutral,68
yeah spammer discriminating none female part target group apparently,negative,68
would believe done homework rest life,neutral,37
something sexy blonde rubbing field,neutral,35
love tell match shirt perfectly move please supposed without,positive,60
sad commentary,negative,14
know exactly saying cool tape better p,neutral,38
miss,negative,4
law order yeah stay home sat nite,neutral,33
seesmic desktop seems pretty good nice find,positive,43
incredibly great day hahaha,positive,27
aw thank,positive,8
dat time bos text saying tweet n office dis tweeting ovum havent dun since,neutral,74
roughnight,negative,10
morning well excited dancing park today good wo c mon venue,positive,59
love justin timberlake host snl hilarious,positive,41
buy sleep need,positive,14
rainy day rainy,neutral,15
today sonny chance came brazil loved amazing please reply,positive,57
know,neutral,4
discern request hulu support excellent idea,positive,43
finally feel like nice summer day feeling sick,neutral,46
happy juday everyone,positive,20
listening yultron,neutral,17
going,neutral,5
yeah mr mom would say appreciate wife much avg dad new found respect mother,positive,75
chapter probably monday still need comment,neutral,42
actually think na release date confirmed september bit wait,neutral,59
cat clean hope,positive,14
tried calling work time wont answer,negative,35
someone edit design called plagiarism right tired exhausted dissapointed,negative,72
java concurrency practice probably best java book ever bought recipe interrupting blocking io ops,positive,97
want somebody cheer,positive,19
wonderful day gorgeous girl followed dinner drink swede,positive,55
almost catching gon na kick woop b joing 10k mile high club soon,negative,64
aww thanks indeed graduating friday final stand freedom teach america law school,positive,80
empathise luvvie dont personally understand grown man need dress tartan search little white ball,neutral,96
woke longest sleep monthsso nice get work done prepped next wk free k coming home tonight,positive,89
buckfast brain went blank,negative,25
going see angel demon tonight better scare,neutral,42
give lulz time time,neutral,19
nah tell diego donminican spot getting,negative,38
keep pulling knitting desk putting back good good tminus minute till release,negative,76
well yes lol chat earlier willing learn anything else,neutral,53
carter video private cant see,neutral,29
wow slept dolidh wake,neutral,21
met he live go clubbing place lol dont get twiter,neutral,49
major iphone problem wont let send text everything else anyone help,neutral,67
music collection coming 250gb soon haha,neutral,39
depresses thinking,positive,18
yeah yeah le degenerate current occupant house reprehensibles bet like minethatbird,neutral,83
sitting marshall center wmina some1 must really want go gym time lost wallet n wno id cant go,negative,93
thanks feedback everyone,positive,24
funny right like bsb im fan love much better tupac tlc bad singing anymore,neutral,74
hug okay making sure,positive,20
seem find new mountain dew throwback pack liter bottle,neutral,54
damm server still need hit koxpers pas,negative,38
decided wolf future star trek logo game would much cooler chewy star war,positive,72
female male year old lab looking new home family loosing home must stay together contact interested,neutral,99
takin short nap gym work kid come back home tonite,neutral,50
happy mother day mom pseudo stepmoms,positive,36
big moth wasp insect general haha hate,negative,38
great,positive,5
sunniest day age im bed,neutral,23
gon na follow son,negative,17
know right pretty bored refuse study suggestion,negative,47
go phone night long sometimes phone blowing nice wake,neutral,53
pretty sure kitty missed one laying side cute though,positive,52
bos texted day yes yes yes,neutral,26
oh dead muffin sad,negative,18
true unfortunately lead movie die high note friday 13th model,negative,61
manford aw thats lovely thing say manchester x,positive,46
jetway feel like seventh layer hell oh way many baby flight forgot bose,negative,71
havent west since think picked bad wknd bc overcast tho,negative,55
1st day master cleanse wish luck,neutral,32
australian hardcoremetalcore scene amazing right look third strike chelsea smile bmth day,positive,89
stuck trytomergetwotools cs hell help framework unless tool already used framework,negative,82
think always offtopic sometimes inappropriate germination fruit picking joke etc,negative,80
eating truffle yum,positive,18
may keep shelf rest old camera,neutral,30
cried like baby put cat year ago tear happiness watch,positive,53
hate able see monitor minute sun blinding,negative,41
excited see samantha denise,positive,27
sunburn itch ouch,negative,17
ok,positive,2
guy look nice,positive,13
alright think time bed even though probably surf net another hour go sleep lol goodnight,positive,88
awake,neutral,5
ooc thanks ugh bad bad day,negative,26
watching chelsea lately love,positive,28
till ice cream,neutral,14
get bubble tea cambodian new year year stand line min,neutral,53
mill better spider type australian wildlife one would imagine,positive,61
welcome home babe,positive,17
oh forgot cell home thankgod crackberry,neutral,39
yard house packed three people deep bar went pf chang got right,neutral,63
need blankie train icebox,neutral,25
wish left dead first need something play,neutral,40
cause ovie one man team show pen highlight whole superstar,neutral,58
aw get hugh thin trace wolverine yet btw guy besides rdj,neutral,56
pick fast,neutral,9
trivia working computer,neutral,23
bmac know want sail,neutral,19
need go atl mainly go ikea stuff want available online,neutral,54
bed still exhausted vega,negative,24
used book expo canada toronto cancelled year beatwittyparty beatwittyparty,negative,74
whole day planned mom today know love,positive,37
thrifty ebay mile rule working many pair leather trouser sold aberdeen try next week,neutral,84
trying figure thing going well,negative,30
got ur back baby much love ya,positive,29
living alki without offstreet parking blow 330p parking wkds worst feel like hostage,negative,84
possible case h1n1 ft knox ky note info purpose still need panic,neutral,64
start eating healthy,positive,20
sandman wound miss guy much,negative,27
want follower,neutral,13
oh cali plan go might get see da hero rock sock,positive,47
send thru anurag,neutral,16
finally finished tec recipe card feel somewhat accomplished,positive,59
look like full lincoln marathon yesterday awesome hm tough,neutral,58
aloud hindi flick came couple week ago never made uk,negative,52
wow nice roar see good thing future,positive,35
yesterday much lazy today feel good,negative,35
certainly warmed mine,neutral,21
really love picture,positive,19
outlet,neutral,6
last night awesome thanks hard work put get coffee,positive,50
stomach ache ahh,negative,16
life good much greater thursday 5pm,positive,35
could,neutral,5
god guy call guy three way discus,neutral,33
need follow real quick cause dm,neutral,31
well u brit wait day thought gon na realized guess worth wait,positive,61
get video start second exiting watch minute flash linux fail,neutral,60
yahoo great always nice hear successful story,positive,45
little brother funny congrats engagement,positive,40
lol,positive,3
mamma bore hat e mir echt angetan lsst gren,neutral,43
omfg whyy suck r18 wtf tai getcho ass,negative,37
aww hope find soon miss cnt even use cam wo memory full plus wan na take sa commin weekend,positive,90
shoot rob missed got home,negative,25
interesting head gear lol,positive,25
im going miss khyy much,negative,23
wan na go home cause customer leave bos let leave either,negative,56
would followfriday everyone list already everyone el list point popular enough,neutral,78
arrg trying upload picture darn thing let,negative,41
tweet,neutral,5
um didnt work guess im stuck uglyonee,negative,37
look far away gone locked away room trying work silence yet constant urgent email im persist,neutral,92
crazyangel gah gregg got hot talented vote dammit,negative,49
thanks men version june popular,neutral,31
sory ready leave,negative,16
right fellow fluffy flasher must go bed sorry hope everything working properly 2moro chat love x,neutral,96
absolutely good backup romo december,positive,36
gon na go crazy leave,neutral,21
year trying cat today figured open underthesink cupboard time target run buy safety lock,neutral,88
hey x,neutral,5
cullen26 yes yes,neutral,16
yeah stop making fun got ta get new one,negative,39
would amazing could meet u germany germany twice,positive,48
good morning tweeple sun,positive,24
home gallery opening woodstock ny frined work display much great cool interesting art seen,positive,90
pee coffee long break time letter write write oh used,neutral,53
going nfg tonight,neutral,17
im tired responsabilities wish kid seems everyone around money anymore,negative,70
called called think answer haha,neutral,31
bbcrew dude im sleepy went bed soon got home whhaacck,neutral,53
lol nah swine flu bro lmao ur schedule like week need catch,neutral,59
poke run away want sugar,negative,24
look like gm bankruptcy going happen loss help offset gain earlier year tax wise oh well,negative,88
oh love vodafone series ad best picturisation ever,positive,50
listening simply awesome ratatat bank holiday monday bbq later,positive,62
hell itunes music library even bipolar,negative,38
profitable day looking forward sunday gon na great day sad 5th grader last day,neutral,78
drum made people set give back,neutral,30
yupp better people rude x,neutral,25
first thought never even watched dragonball,neutral,43
dude safely say blown away heard attic make sure pas much,positive,57
saw robs car drive,neutral,18
galore aw bad good mood phone someone lol,neutral,41
heylo johnn im huge fan hope ur day awesomee cuzz im home sick kinda le awesome anyways peace,neutral,93
starting get annoyed socialscope need update,negative,44
haha loser ily,neutral,14
making logo photoshop work hehe try lah,neutral,39
cooking brown rice,neutral,18
wake sink ship photography exhibition online please look,neutral,56
leave mr cuz go work really want,negative,32
argh interested time maybe go maybe,neutral,35
any1 night like bird keeping awake,neutral,34
kay morning hows day hope another lying sun,neutral,43
goodmorning thank much kind sun going paint outside,positive,51
beatiful eye wan na,positive,19
making imovie college,neutral,21
please make livechat saturday cu go school weekday,neutral,50
woke,neutral,4
read floyd article say private,neutral,30
yesterday fun 1st concert year know late xd buena vista social club live free,positive,77
think fun got ta hide defend enemy fun huh,positive,42
oh yes happy star war day may fourth,positive,36
read sure would wanted opinion,neutral,30
morning tired excercise jus relax need catch sleep lady would like see shemar moore embassy hit,neutral,95
glad concert still week away getting sick need time recover lung hurt bad right,neutral,79
tryin upload new pic say big,negative,28
flying ontario hour probably stay awakei day camping first time yay sleepy,positive,74
haha love soulja boy new song,positive,29
supposed great weather today 2moro luck im stuck work day,neutral,57
internet weekend,negative,16
whens little gingg getting twitter g j,neutral,38
going open proverb get much wisdom possiblei hungry,neutral,51
sleeping beauty love grad,positive,25
wow good idea bday yesterday already took present thank anyway,positive,62
thanks thing much designart hardly ever get go therefore never get much better,positive,78
wasting deodorant aint goin aint havin company let funk ya,negative,58
someone family died would heard duhh,negative,36
r spinning hookah rip,negative,21
3am still cant sleep,negative,20
crappy music radio,negative,18
dude hour done work,positive,19
yo love twin lol,positive,16
toy story come june,neutral,19
breath weezy going knotts sick week,negative,35
discovered band tv guy really good love music,positive,45
miss,negative,4
dont evn talk huge mistake shoulda listened kno disappointed,negative,60
wah masseuse fully booked shoulder rub today,neutral,44
venti black ice tea pump classic,neutral,32
lol yep tell rhonda said happy mother day,positive,41
tried translate tweet using google translation service spat back,negative,64
happy mother day wonderful mom mom make world stay balanced great mother day,positive,76
go doctor want cause wait long,neutral,30
midge definitely tie first completely dumb yeah punk indeed,negative,59
seems like never gon na stop never get want,negative,43
wonderful weekend love family friend awesome happy mother day mommy,positive,67
britain got talent get better every week,positive,40
great meet ya katie awesome show sure safe travel home,positive,54
guy playing pin mexican great combo bowling good though blame previous broken arm,neutral,81
put radio mistake cup tea shower sure fine dandy thanks,positive,55
beautiful outside sun shining bird singing studying wish already vacation,positive,73
aww holly steel dont cry,negative,24
oh sorry friend katie best keep cheery,neutral,38
already got shot show prove,neutral,27
thankyou,positive,8
