tweet,sentiment,length
 haha nice to know I`m not alone! Working in the BBC and can`t see it,positive,69
 http://twitpic.com/4fnaa - haha love you two girl,positive,50
 twee tweet...lol,neutral,17
"sorry , i chili cheese dogged without you",negative,41
Brittany moved,neutral,14
Oh how today sucks....,negative,22
Grad present photos on facebook,neutral,31
 lol thanks!,positive,12
_Ky_Monkey Hope u have an amazing day today Monkey! U deserve it!  No cheating on DEW & looking at THE PICTURE! lol Happy Bday! <3,positive,130
 hi my name is Chelsea and i respect your opinion when it comes to dwts. you were great on there too!,positive,101
Laying in the bed boreddddd looking through old cookbooks for new recipes,negative,73
sitting on chloes little trike thingo its a girraffe  ill most probobly get yelled at with in the next minute or so! ohhh well,neutral,126
Geometry is so **** boring.  waste of time.. 20 more minutes left,negative,65
Cant find my red lighter that reminds me of Amy,neutral,47
 sure i willl ....,neutral,18
Hates being sat around alone on a Friday night. big sad old loser,negative,65
 Good Luck!!!  keep rockin!,positive,27
_uppercut that was such an `old man` thing to say,neutral,49
Itt`s the BIG TIME Saturday night  Playing Canasta then a movie then...Psych homework?  Stay shiny and love everybody!!,positive,119
_om 'If I should paint my fingernails green- oh and it just so happens I do paint them green...'  Marvelous,positive,107
were you born in a barn? would you like some hay? 8-)(8) youtube the mother song,neutral,80
just picked up her Blackberry from the middle of the street! Both she and it are crushed!,negative,89
"Got me a dark red hair dye, going to get some bleach",neutral,52
"Just booked my tickets for London on thursday, i`m so exicted",positive,61
 That`s exactly how I feel.  I hope you start feeling better soon.,positive,66
i hope i can find a store to take us,neutral,36
everyone get #buckonellen one of the topic things!,neutral,50
" ah it doesnt work for me  but i just want to say i love the beach girl, you guys are acee! england loves you (: ****",positive,117
 Cant wait to do some of those things,positive,37
 Looks like both to me Alison.,neutral,30
is making breakfast .,neutral,21
 perhaps because it`s 3 am Minday morning,neutral,41
" i`m totally gutted, i ended up with my foot in a cast today so i can`t travel to nottingham now to see you guys   ****",negative,119
Just a reminder to Hydra clients to check your email for important account updates!,neutral,83
Finallyy done !! And done clean`n lay`n down time 4 bed.. goshh its 3 o`clock !! Lol nite nite twitta heads,neutral,107
is so sick of myself + my life  i`m never going to be as good i want + need to be. xoxoxo </3,negative,93
 I don`t like the possibility of the left side of my brain hurting because of the thing called a VP shunt and possible death,negative,124
it`s official- the Twilight Saga has ended...*sigh*...my life is empty!,neutral,71
"Not feeling very good at all, why does this have to happen today of all days? Not going to friends tonight",positive,106
 Oh no! I totally forgot he played today.,negative,41
good morning! off to the gym I go,positive,33
Ugh I can`t breathe right today,negative,31
 YAY!!  I was supposed to be there next weekend. But its off now.   But I`ma make it out there...I <3 Philly.,positive,109
I am soo happy! But frustrated at the same time!  :]  :S. Ohh noo!!! Britney is recording her new video for Radar!!!  Sooo ExxCiiTeed!!!,positive,136
you wanna know what`s worse... my coworker just brewed a fresh cup of coffee and all I can think about is bacon,negative,111
" Oh how cool!!!, ok so for your head just laydown and put ice on it, that should heep the swelling down, I feel really bad",negative,122
chris sab and i = COMME ESTAS ****,negative,34
" After many attempts, I can`t figure out how put a pic in the avatar. Tells me pic is too big. Frustrated trying.......sorry",negative,124
" yeah, I much prefer tweetdeck but if you must have multiple accounts",positive,69
I just dyededed my hair,neutral,23
 I`m stuck with BOO!!!! Jeeeez shoot me now,negative,43
 I use NewsFire. Works like a charm,positive,35
I just had to look up endometriosis. Oy!,negative,40
'I`m giving up on you. I don`t care how you mess up your life now.'... :`(,negative,74
  shareeee.,neutral,11
Needs a yummy breakfast after her shift,positive,39
Happy Mothers day to all the grown n happy & the lil prego smuts lol Just Playing everyone is loved.. happy Mothers Day & God Bless,positive,131
loves it when mom and dad come to visit! nothin better,neutral,54
 http://twitpic.com/4w06l - LOVE IT! U have a great job!!,positive,57
"Dad just said that our trip to UK is cancelled, due to da swine flu. Ooops! Sorry abang.",negative,88
  i want alexis bledel back on screen every thursday night,neutral,58
"How did I give birth to a SCREAMER?? I hate screaming children!! I guess I hate screaming children besides my own, now.",negative,119
" what on earth happened to wentworth`s page?!? i`m devastated, as i`m sure ALL of his fans are!",negative,95
"#3wordsaftersex  Ow, rug burns",neutral,30
 places to find you if you`re not home- marilyn and seria beach,neutral,63
I just got a wiff of pazik fart!,negative,32
"Not feeling too good at ALL, about to head to work from 12-5.  Not a bad shift, just not fun when you don`t feel well! Hope it goes FAST",negative,136
" Hahaha! Is he snoring, too?",positive,28
: wait till the vacation ends! u shud be cycling a lot then!,neutral,60
Time to do house chores! Ugh!,negative,29
" come home, then. Not so boring here.",negative,37
" no your not  they are very cute, how you going being a daddy?",positive,62
1 John is an amazing book. Just what I needed to brighten my mood.,positive,66
I can`t sleep...I keep thinking about the puppy I played with today,neutral,67
 nvm i just got ur message that ur sick,neutral,39
is Happy Mothers Day.   Taking Mum out for dinner to one of my favourite restaurants down Glenelg now,positive,101
notthebest weekend....but oh well....I have a right to be sad,negative,61
sitting at home...need to be pricing the garage sale items...but i have no help so its boring by myself,negative,103
 Thanks. End up going to Makino Chaya,positive,37
 i love you <3  host me lmao,positive,28
 apparently!  Haven`t tried the site tho. Maybe will get better results.,positive,72
noooo!   all summer?! I won`t see your charming little face ALL summer?!,negative,72
 You know what?  That cowboy hat in your pic made me smile today (you don`t see many of those in Japan),positive,103
I`m super hungry! Waiting for my biotch to feed me.,neutral,51
Seeing `Love at the Club` actually made me,neutral,42
"Wait - No Wind in Hair - that would be I-L-L-E-G-A-L!!  I would Never break the law!! No, never.",positive,96
" You`re not the only one surprised that FreeTDS and UTF-8 don`t 'just work'. But you`ll get it right, eventually.",positive,113
what a wonderful day...i am going to sleep so well tonight,positive,58
 Morning Sunshine,neutral,17
 yes... nice. I missed a lot of fun. **** exams. you are looking good...hair,neutral,76
 hopefully I`ll get to see HTB next week and LA really soon!! Can`t wait!!!,positive,75
really wants to go see AI tonight.,neutral,34
feels strong contractions but wants to go out.  http://plurk.com/p/wxidk,neutral,72
 will have to pare down his collection of portraits of  and bangbang,neutral,68
this is how we do itttt,neutral,23
"my to do list is bananas, before i leave for Europe BOOOO",neutral,57
" Well thats even worse cuz when it gets hurt everyone is in pain, but poor Stephen has a smushed twitter now!",negative,109
 Sweeny Todd is deadset one of the best movies of all time,positive,58
Finally managed to catch her boyfriend on skype... sooo happy now,positive,65
" Oh, I don`t really have much of an opinion on her either way. It`s just a night to rip everything.",neutral,99
" i got 2 much 2 do 2nite 2b bored. In bath still hav wash, dry, straight hair, get clothes ready etc",neutral,100
I am not doing much  all well!,negative,30
 i tried listenin to music 4 half an hour! Tried readin a really boring book-still wide awake!,negative,94
 I know anne and judy,neutral,21
those workmen extending R block can`t start this early surely.. its 7:45am and already they`re making a racket and woken me up!,neutral,127
_lpz yeah text me!!! i wnat to go!!!!! but my car is broken!!,negative,61
"Waiting for Danny to text me back,,,  xoxo",neutral,42
Had fun 2nite...i was pleasantly surprised,positive,42
My teratoma has a cavity and is experiencing male-pattern baldness,negative,66
LUCY IS HATING ON MY GWEG!,negative,26
  Oh what`s up?,neutral,15
"OK, when will this post RNY girl learn; rich sugary food is a BAD idea! No more golden graham bars out of the vending machine. Bleck!",negative,133
just found out that my husband`s grandma fell down the stairs & is at the hospital with several broken bones...praying hard!,negative,124
Quick thoughts. Tired. Happy. Satisfied. Entertained. Excited. Oh... and a bit in love,neutral,86
I`m way to hungry to even think. I can`t go to work on an empty stomach like this,neutral,81
" Unless you mean the 2 hours a week i use for sleeping. Yeah, suppose i could use those",neutral,87
 im eating sliders at barjohnnys! (theyre pork tho not beef  still on the search...),neutral,84
_Henrie how are you?what are you doing?answer me plz,neutral,52
 why am I weird?,negative,16
Arrogant **** on tap in Oregon. WHAT!!!!!!,negative,42
 This is not my day,negative,19
http://pic.gd/fad84c One Sunday night at Helsinki. We hadn`t drink anything... xD yeah RIGHT!,neutral,93
morning im up and ready weeee its a sunday,neutral,42
 I was gonna text u and ask what puff meant!!,neutral,45
"Friends are gone. Sushi, movies, laughter. Just what I needed. FUN!",positive,67
 yeah! but too late hun  lol,neutral,28
"Woe, it`s definitely NO fun to travel first class with a bike. You have to fight your way through 7 coaches `til you reach your seat",negative,132
"I`m seeing quite a few proto-furries here, now that I think of it.  #acen",neutral,73
 Boring? What?! Ugh!!!  come back to of then!,negative,45
 Haha I like that. You`re actually saying thanks to the bots! Never looked at it like that.,positive,91
  that`s bad as it affects all the languages that run on the JVM. Too bad!,negative,74
" Their inability to manage money, tough job market, and they`re getting behind on bills. This is why no savings is bad",negative,118
off for a run. moon-day is not that bad after all...  #fb,neutral,57
" very much so  You know I am coming now on Thursday too right, are there door sales ??",neutral,86
" Yep, exactly   And I`m really sad about this tour...I know I`m gonna cry at my last M&G....",negative,92
there`s only one more cherry dr. pepper left in the fridge...thank God. im addicted to that stuff but it does sad things to my skin.,neutral,132
_lawrence did you forget something this morning? you nearly ran me over at the bottom of the hill!  its very very warm in the shop! x,negative,133
Hey #rda2009cla presentation was too large to post!  sorry   (From rules to entities: cataloguing with RDA live > http://ustre.am/2j3l),negative,135
 safer to say that your cube is now a sphere ... but roll with it buddy ... it is an awesome time ... esp the 1st one,positive,117
"_Rankin And until soy beans have TEETS, soy 'milk' *is not milk*.",neutral,65
"So disapointed,good Evans,  they sound really bad, so out of tune  #britainsgottalent",negative,85
on my way to driver`s training,neutral,30
I`m Having a Baby Girl! (In the next 17 Days!) I think I`m gonna keep this handy  http://budurl.com/f9p5 Funny Stuff!,neutral,117
kellie: Its a major problem okay. alex: what is? Kellie: hahahahahahahaa your face,positive,82
I left my ipod in the car so now its all warm.,positive,46
Workin.,neutral,7
"Season 1 of Lie To Me was serious. ****, now here comes the wait.",neutral,65
 I know   Guess I was hoping they`d revitalize the plot lines as well instead of reverting to old cliches!,positive,106
" this is funny, we just discussed Bela Lugosi  over dinner, his apearance in Plan B from outer space 'best' movie ever",positive,118
mmmmmm mcdonalds coffee is soooooo good.....maybe going to hookah tonight with the abbster,positive,90
 I SLEPT THROUGH MY ALARMS  woke up at 6 instead of 4  i feel like a complete tool,positive,82
 - great site.  The photos on it are fantastic.  Will be very useful for my visit to Pembroke (inc Skomer) in June,positive,114
" my hubby`s a vet, so we `get` that animals are like children!! all the best! hope ur biz is going well",positive,103
 Next time,neutral,10
_aka_Rowan he could be talking to me  (he`s probably not though ;) ),negative,68
  The 'holy cow' is what did this to me.,neutral,40
" You lucky girl! I also wanna see them (again LOL) I wish they`d come to europe again, but I doubt that",neutral,103
Right now on my Justin.tv channel: 10 weeks until my gf has a newborn  www.justin.tv/kubbur?20,neutral,94
 poor grace!!! You need to date a cute male nurse.,neutral,50
happiest girl in the world.  best weekend ever and I can`t wait for next weekend either!!!  so grateful for all my blessings!,positive,125
wave would trend higher that bing,neutral,33
": What, you`re not really an alcoholic? I AM V. DISAPPOINTED! D: Seriously, though, I got that you were kidding.",negative,112
watching because i said so! happy mothers day!,positive,46
1st day of work today was a bit tiring but ok lol now onto college work,neutral,71
" Wow, you mom has a lot of energy. I`m getting tired just reading your tweet and ur living it.",negative,94
argggggg car crash tv its just sooooooooo horrible to see her like that  #bgt,negative,77
   good point!! Mine is on its way. How did he get delivered?  I will post pics too wen I get him,positive,97
Trader Joe`s 'sushi' is a fail.,negative,31
 Their coming tomorrow morning and it`s sort of an impossible task. I just need to clear some space. Thanks though,neutral,114
 That`s one of the reasons we thought 'Should we have a kid?'  'Nah - let`s get a piano instead.'    You poor buggers,negative,117
 i KNOW! AHH!  so fun!,positive,22
 Why I gotta be all that?... I sad now,negative,38
_OTTAWA have fun!,positive,17
 it`s because finished the recordings?,neutral,38
G`night Twitterverse! Thanks for keeping me entertained!!,positive,57
 make a prank call for me,neutral,25
really rather drunk  drunk thoughts - how am i getting to work tomorrow?! is loz alive?! does gandhi read comic books?! we will never know,neutral,138
 my sympathies - been here 20 minutes and had enough - will escape soon,neutral,71
 Howz it going hun??,neutral,20
I`m sitting around wanting to do something  any ideas?,neutral,54
" yes! fb, ah i miss you",negative,23
"and she was all like 'dude. I care about you.' and it made me smile  yea that teaches me not to drive on E, lol",positive,111
_aguirre Now I wish I was going,positive,31
"So, what are you all doing? I`m eating crackers! Yummy. The unsalted ones of course. I only do salt in my caviar.",positive,113
" I believe that is true, FML is quite the phenomenon...all thx to Superbad",neutral,74
Haven`t used twitter in awhile. BGT!! DRAWING!! SUMMER!! FINALS,neutral,63
"OMG. I got a explosion of new followers, hello new followers",neutral,60
Been i while since i`ve been on.... bogged under with exams!  Eugh. At least theres only 2 left!! Britains Got Talent!!,neutral,119
i am talkin on da phone and typin at da same time,neutral,49
all dressed up and no where to go...,negative,36
Watching 5 children and it.  i really should be studying. I`ll start soon :[,negative,76
More to thank for #ff shouts     and heaps more. Sry will be here all night i now realise,neutral,89
"Ok, i`ve eaten some food and now bored to death in my room. Seriously, there is nothing to do. Guitar been taken to the venue!",negative,126
 Psych has to be better than neuro!  Or at least in a better part of town?  I miss you,negative,86
It`s raining that fine rain!!! U know the fine rain that wets you the most,positive,74
 sorry missed your post earlier about Edinburgh.  I am biased towards its awesomeness!  Glad you enjoyed your visit,neutral,115
 i dont want you to go to india,neutral,31
Apparently it`s 21 degrees in Kilkenny now! And some comedy would be a great remedy to my boredom! Why the hell did I leave Kilkenny!?,negative,134
" LOL...oh, man, can I un-twit something? haha! I mean my lean mean fighting machine. I sooo can`t believe you called me out!",neutral,124
  i wlda seen it wit you! dummyhead.,negative,36
Ok so any ideas of what to do tomorrow to make it fun? Cause i dont know what to do,neutral,83
I`m going to obu for the night.,neutral,31
"I have an awesome picture of happy pint, but it`s not sending",positive,61
 when are u gonna host Saturday night live!! i`ve been waiting for like 2 yearsssssss!!,neutral,87
 no it doesn`t...sheesh,neutral,23
"_DinaSadik forensic mein kya hai! bas rat te jaao  and micro?havin a micro exam soon,the lab diagnosis of all d individual bacteria!",neutral,132
_michele but sometimes not having to say nice things all the time is kinda fun  *teehee*and now I`ll put this back on as well *halo*,neutral,132
 I`ll save you,neutral,14
: just got home from drews bday.,neutral,32
" Cheers John, thanks for following me. Look forward to your twitterings too. Think this`ll be a good place for my rants  ****",positive,125
I`m so proud of my NAU graduate friend!!! We`re getting ready to celebrate  tonight!!! It`ll be an international ordeal~,positive,120
I am currently doing a few posts on my business blog http://venturefile.com  check it out if you like it,neutral,104
 you need to follow me so I could send you a direct message.,neutral,60
 what was said?,neutral,15
" brazil LOOOOOOOOVES you, i miss you  24th may, the perfect day off",positive,67
_it_good den fell asleep on me!!!,positive,33
I tell him today! :S it`s his last day,neutral,38
_roe oh well.  I`ve never seen him do anything before so I`m not gonna say anything.,neutral,84
"Chillin with the rents, and looking at hilarious old photos. Well funny!",positive,72
Getting all annoyed cos this weekend`s going to be hot. I`m bloody working,negative,74
 Yeah ill make sure i keep you updated.. i get it all delivered,neutral,63
 http://twitpic.com/5h3ad - And Brazil??? WE LOVE YOU TOO!!,positive,59
_rockett i know! And he laughed at the stupid `women`s right`s` joke. Wth! Glad we have the same humor!,positive,103
cleaning cleaning cleaning today then working out!  i love not working!,neutral,71
 i guess ill never have it  but the sad thing is that u didn`t put an Alternate e-mail!! cause if u dont remember ur secret,negative,123
OUCH! my earphones just shocked me,negative,34
 Well the one thing where you lay on the floor I couldn`t do all of them....I`m very out of shape,negative,97
" haha, its under 18 :@ so ive got no one to go with  curse none of my friends liking TAI lol",negative,92
poor baby girl chloe is freaking out because of all of the noise!  She so cute and pitiful hiding under the middle of the table!,neutral,128
  Yeah the spammers are discriminating: none of the females  are part of the target group apparently,negative,100
 Would you believe that I`m done with homework for the rest of my life?,neutral,71
There`s just something about a sexy blonde **** rubbing herself in a field  http://worldsbestpornmovies.com/faithmov3.htm,neutral,121
 I love it. Tell me it didn`t match my shirt perfectly. Can you just not move PLEASE? What am I supposed to do without you?,positive,123
 It is a sad commentary is it not?,negative,34
 I know exactly what you are saying.. its so not cool... that is why tapes were better  :p,neutral,90
 i miss you too,negative,15
"Law and Order! Yeah, I stay home on Sat nite!",neutral,45
 Seesmic Desktop seems pretty good. Nice find,positive,45
What an incredibly great day.  hahaha!,positive,38
  awww thank you,positive,16
" i did dat 1 time & my boss text me saying, 'tweet me n my office after dis tweeting is ova!' i havent dun it since.",neutral,116
roughnight,negative,10
morning!  well excited dancing down the park todayyy! should be good!  wooo c`mon venue!  ****,positive,94
i love it when justin timberlake hosts snl; hilarious,positive,53
" if i can buy sleep for you, i will... that`s what you need!",positive,60
Rainy day is rainy.,neutral,19
" today 'sonny with a chance' came to brazil, i loved it!! you`re amazing <33 please reply",positive,89
 I don`t know how you do it,neutral,27
 do I discern a request for Hulu support? excellent idea!,positive,57
"Finally feels like a nice summer day, and I`m feeling sick",neutral,58
Happy #juddday everyone!,positive,24
Listening to Yultron!!,neutral,22
: no i`m not going.,neutral,19
" yeah, but Mr. Mom`s I would say, appreciate their wives much more than the avg dad   I have a new found respect for mothers now",positive,128
chapter 27... probably on monday. i still need more comments.,neutral,61
 Actually I think the NA release date was confirmed for September so it`s a bit more of a wait.,neutral,95
 Is you cat clean again?  Hope so ;) ****,positive,41
i tried calling work 5 times and they wont answer,negative,49
"When someone edit your designs is called plagiarism right??, but what can you do??, I`m tired, exhausted and dissapointed",negative,121
Java Concurrency in Practice is probably the best Java book I`ve ever bought. There`s a recipe in there for interrupting blocking IO ops,positive,136
Wants somebody to cheer her up,positive,30
"has had a wonderful day with some gorgeous girls, followed by dinner and drinks with the Swedes",positive,95
"7846 - almost catching  up, so gonna kick her ****, and woop i will b joing the 10k mile high club soon",negative,103
 Aww thanks! I am indeed graduating on Friday. Just 4 finals stand between me and freedom...or Teach for America and law school,positive,127
" I empathise luvvie, I dont personally understand a grown mans need to dress in tartan in search for a little white ball",neutral,120
Just woke from the longest sleep in months-so nice! Now to get some work done so i`m prepped for next wk & free for K coming home tonight,positive,137
 It was BuckFast. Brain just went blank,negative,39
Going to see Angels and Demons tonight. It better not scare me!!,neutral,64
 It will give me lulz from time to time.,neutral,40
 nah will didn`t tell diego so we at some donminican spot getting **** up,negative,73
I keep pulling out my knitting at my desk and then putting it back.  Not good!  Not good!    T-minus 15 minutes till release........,negative,132
"@_iDANCE19 well yes lol ..  i had a chat with them earlier , there just not willing to learn anything else",neutral,106
_carter The video is `private I cant see it,neutral,43
Wow slept in with no dolidh here to wake me up,neutral,46
  i met him! hes from where i live !!! he goes clubbing the same places lol! i dont get twittter,neutral,96
Major iPhone problems  Wont let me send texts BUT I can do everything else! Can anyone help,neutral,91
 my music collection will be coming up to 250gb soon.  haha,neutral,59
   me too.  it depresses me thinking about it.,positive,46
" Yeah, yeah. Less #degenerate than current occupants of U.S. House of Reprehensibles. You can bet on that. Like MineThatBird.",neutral,125
is sitting in the marshall center w/Mina. Some1 must really not want me to go to the gym..this time i lost my wallet n w/no ID i cant go,negative,136
thanks for the feedback everyone,positive,32
 U SO funny but u right! I like BSB but Im not as fan than U I love much better Tupac & TLC..2 bad they`re not singing anymore,neutral,126
" {{{HUGS}}} Okay, just making sure!",positive,35
Can`t seem to find the new Mountain Dew Throwback in 12 packs....only in 1 liter bottles,neutral,88
Damm servers still down  i need to hit 80 before all the koxpers pass me,negative,72
decided that wolf in a future Star Trek Logo game would be much cooler than Chewy in Star Wars,positive,94
Female and Male 3 year old Labs looking for new home  Family is loosing their home. Both must stay together. Contact me if interested.,neutral,134
"takin short nap, gym and work before kids come back home tonite",neutral,63
happy mother`s day to all moms and pseudo stepmoms,positive,50
 Same! And big moths and wasps and just insects in general HAHA I hate them,negative,75
 that`s great!,positive,14
sunniest day in ages and im in bed,neutral,34
 **** how you not gonna follow me son?,negative,38
"Don`t know what to do right now...pretty bored, but I refuse to study. Any suggestions?",negative,87
 me too... it goes to my phone so all night long sometimes my phone is blowing up... so nice to wake up to!,neutral,107
Pretty sure my kitties missed me...one is laying on me and the other 2 are on each side of me. They are so cute though.,positive,119
"Boss just texted me, I HAVE THE DAY OFF! YES< YES AND YES AGAIN!",neutral,64
 Oh no! Dead muffins ... how sad,negative,32
" That`s true. Unfortunately, the leads in the movies don`t die on such a high note. It`s more the Friday The 13th model",negative,119
_Manford Awww thats such a lovely thing for u to say to me  are u doing any in manchester? x,positive,92
The jetway feels like the seventh layer of hell. Oh and there are way too many babies on this flight. And I forgot my Bose.,negative,123
 i havent been out west since 07...i think i picked a bad wknd b/c its overcast out here tho,negative,92
1st day of master cleanse...wish me luck,neutral,40
 australian hardcore/metalcore scene is amazing right now. look up third strike and chelsea smile. AND BMTH IN 7 DAYS,positive,117
" I`m stuck in a try-to-merge-two-tools CSS hell, so no help from frameworks  Unless both tools had already used the same framework",negative,130
"  I think it`s because I`m always offtopic and sometimes inappropriate (germination and 'fruit picking' jokes, etc)",negative,115
eating truffles  yum!,positive,21
 will do! I may just have to keep it on my shelf with the rest of my old cameras,neutral,80
 I cried like a baby when we had to put our cat down 2 years ago...  For tears of happiness watch this http://bit.ly/qLwbe,positive,122
hates not being able to see his monitor. I have about 25 minutes before the sun is not blinding me,negative,98
is excited to see Samantha&Denise again  http://plurk.com/p/rr5id,positive,65
My sunburn itches  ouch,negative,23
" I be ok, you?",positive,14
 http://twitpic.com/4w483 you guys look so nice,positive,47
"Alright, I think it`s time for bed...even though I`ll probably surf the net for another hour before I go to sleep lol! Goodnight",positive,128
 while you awake ?,neutral,18
" ooc: thanks! Ugh...what a bad, bad day I`ve had. **** .",negative,56
watching chelsea lately!  loveeeee her <3,positive,41
 Till then ..Ice Cream!,neutral,23
" - I only get bubble tea during the cambodian new year - only once a year  & when i do, i stand in line for over 10-15 min.",neutral,123
_mills  better than a spider or some type if Australian wildlife one would imagine,positive,82
 welcome home babe!,positive,19
oh and i forgot my cell at home  thankgod for this crackberry,neutral,61
yard house too packed. Three people deep at bar.... went to pf changs....got right in,neutral,85
I need a blankie  this trains an icebox,neutral,39
  I wish I had Left 4 Dead. But first I`d need something to play it on...,neutral,73
" That`s cause Ovie is the one man team and when they show Pens highlights, it`s the whole because we have more than 1 superstar",neutral,127
" awww ) where`d you get that? hugh is so thin. no traces of being wolverine yet. btw, who`s that other guy besides RDJ?",neutral,119
" ?. Pick up that, as fast you can!",neutral,34
" trivia? Working, no computer!",neutral,30
"_bmac I knooow, I want to sail",neutral,30
"I need to go to ATL, mainly just to go to Ikea.  The stuff I want isn`t available online.",neutral,89
Off to bed!! Still exhausted from Vegas,negative,39
 they used to have a Book Expo in Canada (Toronto) but the cancelled it this year  #BEAtwittyparty #BEAtwittyparty,negative,114
i have a whole day planned for my mom today that i know she will love!,positive,70
_Thrifty eBay 10 mile rule not working for me.  Too many pairs of leather trousers being sold in Aberdeen. Will try next week.,neutral,126
Trying to figure out this thing...it`s not going well,negative,53
 I GOT UR BACK @ BABY!! much love to ya!,positive,40
"Living down @ Alki without off-street parking BLOWS. 3:30p & there is no parking. Wkds are the worst, feel like a hostage.",negative,122
"Possible case of H1N1 at Ft. Knox (KY) http://tiny.cc/gNYq7. Note: this is for info purposes only, so there`s still no need to panic",neutral,132
I have to start eating healthy,positive,30
_sandman_ _wounds   I miss you guys SO much  ****,negative,49
I want more followers.,neutral,22
Oh and Cali plans are a GO! I might get to see DA too and she`s my hero and rocks my socks,positive,90
 he he! I will send it thru anurag,neutral,34
Finally i have finished my tec recipe card and i feel somewhat accomplished,positive,75
" Looks like you did the full Lincoln Marathon yesterday? That is awesome, the HM was tough for me",neutral,97
_aloud  and that hindi flick `99` that came out a couple of weeks ago that never made it to the UK,negative,98
" wow!  Nice roar, I see good things in your future",positive,50
"Yesterday I didn`t do much because I was just lazy, but today I don`t feel so good.",negative,83
  they certainly warmed mine,neutral,28
http://twitpic.com/4j9fb - I really love this picture!,positive,54
 i was at the outlets too,neutral,25
 Last night was awesome! Thanks for all the hard work you put into it! Off to get some coffee now...,positive,100
STOMACH ACHE!!! Ahhhhhh,negative,23
life is so good. and it will much greater on Thursday at 5pm!,positive,61
 could be.,neutral,10
  god you guys...i`ll call you guys...three way. to discuss.,neutral,60
 I`ma need you to follow me real quick cause I can`t DM you,neutral,59
 well us Brits have to wait a few more days for it!  I thought it was all gonna realized at once! I guess it`s worth the wait!,positive,126
"@_refugee_ /me gets 'Your video will start in 15 seconds', Exiting to watch ... for minutes  #flash #linux #fail",neutral,112
 Yahoo ! Great! Always nice to hear successful stories!,positive,55
Little brothers being funny  Congrats on the engagement http://tinyurl.com/cv5nw8,positive,81
 I do now LOL.,positive,14
'Mamma Who Bore Me' hat es mir echt angetan.  90210 lï¿½sst grï¿½ï¿½en. ^^,neutral,74
 omfg  whyyyyyy not that sucks!!! and r18?? wtf...  T.A.I. getcho` asses down here,negative,82
" aww  i hope u find it soon i miss it. i cnt even use my cam w/o it, memory`s full. plus i wanna take it 2 SA this commin weekend.",positive,130
" Shoot, Rob I missed it. Just got home.",negative,39
 http://twitpic.com/4jf4m - Very interesting head gear. lol.,positive,60
im going to miss khyy so much,negative,29
"I wanna go home, but I can`t cause the customers won`t leave... And my boss won`t let me leave either",negative,101
"I would do a #FollowFriday, but everyone on my list is already on everyone elses list so what`s the point?  I`m just not popular enough.",neutral,136
arrg - i`ve been trying to upload my picture...darn thing won`t let me,negative,70
 tweettttt.,neutral,11
ummm. no it didnt work so i guess im stuck with this uglyonee,negative,61
Look at how far away I`ve gone... locked away in a room trying to work in silence and yet... constant 'urgent' emails and IM`s persist,neutral,134
"_crazyangel Gah   But Gregg should have got the hot and talented vote, dammit!",negative,78
_2008 thanks  there`s a men`s version in June. It`s very popular.,neutral,65
 Sorrry  I`m ready to leave.,negative,28
" right my fellow fluffy flasher! I must go to bed, sorry  I hope everything is working properly 2moro and we can chat! love u x",neutral,127
 Absolutely! Just have a good backup for Romo for December.,positive,59
 were gonna go crazy before you leave,neutral,37
"after 4 years of trying, my cat today figured out how to open the under-the-sink cupboard.  time for a target run to buy safety locks",neutral,133
 hey  how are you?  x,neutral,21
"_Cullen26 yes, yes it is.",neutral,25
 Yeah they are! So stop making fun of me! I gotta get new ones,negative,62
 It would be amazing if we could meet us in Germany! I have been to Germany twice.,positive,82
Good morning Tweeple of the sun! What you all up to?,positive,52
"Home from gallery opening in Woodstock, NY. Frined had work on display.  Much great, cool and interesting art to be seen.",positive,121
"I have to pee (**** coffee)  sooo long until break time. 77 more letters...what to write, what to write..oh, used them all up.",neutral,126
should be going nfg tonight,neutral,27
im so tired of my responsabilities i wish i was a kid it seems that everyone around me is all about money and not me anymore,negative,124
!  i called and called. I think you should answer more. haha,neutral,60
_bbcrew dude im sleepy and went to bed as soon as i got home.  whhaacck.,neutral,72
" lol nah no swine flu for me bro. lmao what`s ur schedule like this week, I need to catch up!",neutral,93
*pokes and runs away* ... I WANT SUGAR !,negative,40
Looks like the #GM Bankruptcy is going to happen. This loss will help offset the gains that I had earlier in the year tax wise. Oh well,negative,135
 Oh! Don`t you just love these Vodafone series of Ads ... The best picturisation ever,positive,85
Listening to the simply awesome Ratatat on a bank holiday monday before a BBQ later  http://bit.ly/gJqSh,positive,104
"Hell, my iTunes music library is even bipolar!",negative,46
"is having a profitable day!  Looking forward to Sunday...gonna be a great day -- sad, too, because it`s the 5th graders last day!",neutral,129
"Had drums, but they where made up of other peoples sets, so, had to give them all back",neutral,86
 yupp t`s better than people being rude to her  x,neutral,49
" My first thought too, I`ve never even watched Dragonball",neutral,57
" dude, I can safely say I was blown away when I heard Attics. I`ll make sure I pass it on as much as I can!",positive,107
" sooo, i saw RObs car drive by. but that was about it",neutral,53
_galore aaaw too bad .. i`m in a good mood to phone with someone  lol,neutral,69
 heylo johnn (: im a huge fan. hope ur day is awesomee. cuzz im home sick and its kinda less than awesome.. anyways.. PEACE,neutral,123
Starting to get annoyed with socialscope. Need an update,negative,56
 haha. Your a loser.  ily,neutral,25
I`m making a logo on photoshop & it didn`t work out..  hehe.. try again lah..,neutral,77
